,Title,Price,PID,Location
47,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000/year ",8LFAK,Lekki Phase 1 Lekki Lagos
48,3 bedroom Flat / Apartment for rent Safe Court Ikate Lekki Lagos," 5,500,000/year ",3LEEA,Safe Court Ikate Lekki Lagos
49,4 bedroom House for rent  Lekki Phase 1 Lekki Lagos," 20,000,000/year ",2LDRX,Lekki Phase 1 Lekki Lagos
50,3 bedroom Flat / Apartment for rent  Lekki Lagos," 8,000,000/year ",6LEBX,Lekki Lagos
51,5 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",2LEYX,Ikate Lekki Lagos
52,3 bedroom Flat / Apartment for rent Old Ikoyi Ikoyi Lagos," 28,000,000/year ",9KZER,Old Ikoyi Ikoyi Lagos
53,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 9,000,000/year ",5LEYX,Lekki Phase 1 Lekki Lagos
54,4 bedroom Flat / Apartment for rent Off Banana Island Road Ikoyi Lagos," 25,000,000/year ",7KZHE,Off Banana Island Road Ikoyi Lagos
55,3 bedroom House for rent Ikoyi Lagos," 23,000,000/year ",9LCYM,Ikoyi Lagos
56,4 bedroom House for rent chevron Lekki Lagos," 6,000,000/year ",8LCXK,Chevron Lekki Lagos
57,3 bedroom Flat / Apartment for rent Lekki Phase 1 Lekki Lagos," 8,000,000/year ",3LBYC,Lekki Phase 1 Lekki Lagos
58,2 bedroom Flat / Apartment for rent  Ologolo Lekki Lagos," 5,000,000/year ",2LEQU,Ologolo Lekki Lagos
59,4 bedroom House for rent Ikota Lekki Lagos," 7,500,000/year ",7LBQH,Ikota Lekki Lagos
60,3 bedroom Flat / Apartment for rent Elemoro Ibeju-Lekki Lagos," 1,500,000/year ",0LFNF,Elemoro Ibeju Lekki Lagos
61,4 bedroom House for rent Golden Palm Estate orchid Lekki Lagos," 4,800,000/year ",6LFQS,Golden Palm Estate Orchid Lekki Lagos
62,4 bedroom House for rent Lekki Palm City Ajah Lagos," 5,000,000/year ",5LFRX,Lekki Palm City Ajah Lagos
63,4 bedroom House for rent Off Lekki-Epe Expressway Ajah Lagos," 5,000,000/year ",5LFNP,Off Lekki Epe Expressway Ajah Lagos
64,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 12,000,000/year ",7LCYZ,Lekki Phase 1 Lekki Lagos
65,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 13,000,000/year ",5LENH,Lekki Phase 1 Lekki Lagos
66,4 bedroom House for rent Ologolo Lekki Lagos," 5,000,000/year ",5LEBX,Ologolo Lekki Lagos
67,4 bedroom House for rent Ologolo Lekki Lagos," 5,000,000/year ",5LEBX,Ologolo Lekki Lagos
68,4 bedroom House for rent Off Awolowo Road Ikoyi Lagos," 12,000,000/year ",4LECE,Off Awolowo Road Ikoyi Lagos
69,4 bedroom House for rent orchid Lekki Lagos," 7,000,000/year ",3LEKL,Orchid Lekki Lagos
70,4 bedroom House for rent Ajah Lagos," 5,000,000/year ",0KZHV,Ajah Lagos
71,3 bedroom House for rent Ikoyi Lagos," 30,000,000/year ",0LEBD,Ikoyi Lagos
72,4 bedroom House for rent Orchid chevron Lekki Lagos," 7,000,000/year ",1LCVU,Orchid Chevron Lekki Lagos
73,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 20,000,000/year ",9LBNV,Lekki Phase 1 Lekki Lagos
74,5 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",1LEKG,Ikate Lekki Lagos
75,3 bedroom House for rent Osapa london Lekki Lagos," 5,000,000/year ",3LCMY,Osapa London Lekki Lagos
76,3 bedroom House for rent Lekki Phase 1 Lekki Lagos," 14,000,000/year ",5LFBL,Lekki Phase 1 Lekki Lagos
77,5 bedroom House for rent VGC Lekki Lagos," 15,000,000/year ",4LCVU,Vgc Lekki Lagos
78,3 bedroom House for rent Osapa london Lekki Lagos," 5,000,000/year ",1LBQF,Osapa London Lekki Lagos
79,4 bedroom House for rent Ikota Lekki Lagos," 7,000,000/year ",1KZKZ,Ikota Lekki Lagos
80,4 bedroom House for rent Parkview Estate Ikoyi Lagos," 20,000,000/year ",0LCUB,Parkview Estate Ikoyi Lagos
81,3 bedroom House for rent 2nd Avenue Extension Ikoyi Lagos," 15,000,000/year ",6LENG,2nd Avenue Extension Ikoyi Lagos
82,2 bedroom House for rent Ologolo Lekki Lagos," 5,000,000/year ",2LBTD,Ologolo Lekki Lagos
